iter	Passed	Remaining
684	10008	136105
685	10020	136049
686	10031	135988
687	10044	135945
688	10056	135901
689	10073	135919
690	10085	135867
691	10098	135839
692	10111	135803
693	10123	135750
694	10136	135706
695	10147	135651
696	10159	135602
697	10170	135535
698	10187	135552
699	10198	135500
700	10210	135445
701	10223	135406
702	10237	135383
703	10249	135344
704	10261	135292
705	10272	135224
706	10283	135167
707	10294	135113
708	10306	135061
709	10317	134998
710	10328	134938
711	10340	134895
712	10352	134849
713	10364	134794
714	10376	134743
715	10387	134689
716	10399	134637
717	10409	134568
718	10422	134537
719	10434	134488
720	10446	134441
721	10457	134387
722	10469	134337
723	10481	134285
724	10492	134237
725	10504	134181
726	10515	134126
727	10528	134088
728	10540	134046
729	10551	133990
730	10563	133946
731	10575	133894
732	10586	133837
733	10597	133786
734	10610	133745
735	10621	133686
736	10632	133632
737	10643	133577
738	10656	133539
739	10670	133525
740	10684	133509
741	10697	133475
742	10709	133427
743	10720	133372
744	10732	133322
745	10743	133267
746	10754	133211
747	10767	133186
748	10779	133141
749	10790	133088
750	10802	133040
751	10813	132988
752	10825	132939
753	10838	132908
754	10850	132862
755	10863	132829
756	10874	132780
757	10886	132731
758	10897	132682
759	10909	132631
760	10920	132578
761	10935	132580
762	10947	132530
763	10958	132477
764	10969	132426
765	10981	132377
766	10992	132324
767	11003	132271
768	11015	132225
769	11029	132205
770	11040	132159
771	11052	132112
772	11063	132061
773	11075	132019
774	11087	131972
775	11098	131922
776	11109	131871
777	11122	131837
778	11134	131794
779	11146	131757
780	11157	131708
781	11169	131657
782	11181	131619
783	11193	131576
784	11205	131535
785	11216	131489
786	11229	131454
787	11243	131440
788	11255	131402
789	11267	131357
790	11278	131305
791	11290	131265
792	11301	131218
793	11313	131169
794	11324	131120
795	11335	131073
796	11347	131029
797	11358	130981
798	11369	130930
799	11381	130886
800	11392	130841
801	11405	130805
802	11416	130758
803	11427	130711
804	11440	130671
805	11451	130628
806	11463	130583
807	11475	130547
808	11486	130503
809	11499	130466
810	11510	130419
811	11523	130395
812	11554	130561
813	11581	130701
814	11595	130684
815	11608	130656
816	11620	130611
817	11632	130572
818	11644	130533
819	11656	130495
820	11668	130457
821	11679	130410
822	11691	130367
823	11703	130326
824	11714	130284
825	11726	130237
826	11737	130191
827	11749	130149
828	11760	130105
829	11771	130058
830	11783	130014
831	11794	129971
832	11806	129926
833	11820	129916
834	11844	130004
835	11877	130194
836	11895	130227
837	11929	130428
838	11960	130596
839	12000	130863
840	12041	131142
841	12067	131252
842	12082	131246
843	12099	131262
844	12115	131263
845	12130	131260
846	12151	131318
847	12168	131332
848	12198	131482
849	12218	131531
850	12231	131504
851	12248	131515
852	12263	131502
853	12279	131505
854	12293	131494
855	12325	131660
856	12349	131753
857	12365	131752
858	12381	131751
859	12396	131753
860	12416	131793
861	12444	131926
862	12460	131927
863	12501	132190
864	12515	132172
865	12533	132191
866	12545	132154
867	12559	132132
868	12572	132105
869	12584	132063
870	12595	132017
871	12612	132023
872	12627	132016
873	12642	132013
874	12658	132006
875	12670	131974
876	12684	131946
877	12698	131931
878	12713	131924
879	12740	132034
880	12758	132055
881	12772	132043
882	12786	132023
883	12798	131976
884	12810	131936
885	12821	131888
886	12833	131851
887	12847	131826
888	12863	131830
889	12878	131826
890	12894	131825
891	12910	131825
892	12926	131829
893	12946	131865
894	12968	131929
895	12989	131985
896	13023	132164
897	13046	132238
898	13061	132232
899	13075	132212
900	13091	132204
901	13105	132192
902	13120	132176
903	13134	132161
904	13151	132169
905	13166	132158
906	13199	132330
907	13217	132354
908	13232	132343
909	13257	132433
910	13269	132393
911	13283	132366
912	13295	132331
913	13308	132301
914	13364	132696
915	13407	132966
916	13445	133177
917	13481	133375
918	13516	133566
919	13609	134315
